Filename,Width,Height,Mode,exif,Height,dpi,jfif_version,progressive,progression,Width,photoshop,jfif_unit,comment,jfif_density,jfif,Mode
4.jpg,1024,1024,RGB,,1024,"(96, 96)","(1, 1)",,,1024,,1,"b'CREATOR: gd-jpeg v1.0 (using IJG JPEG v80), default quality\n'","(96, 96)",257,RGB
4.jpg,1024,1024,RGB,,1024,"(96, 96)","(1, 1)",,,1024,,1,"b'CREATOR: gd-jpeg v1.0 (using IJG JPEG v80), default quality\n'","(96, 96)",257,RGB
5.jpg,564,564,RGB,,564,,"(1, 1)",1,1,564,,0,,"(1, 1)",257,RGB
5.jpg,1472,1472,RGB,,1472,"(72, 72)","(1, 1)",1,1,1472,,1,,"(72, 72)",257,RGB
2.jpg,564,705,RGB,,705,"(96, 96)","(1, 1)",1,1,564,,1,,"(96, 96)",257,RGB
2.jpg,564,705,RGB,,705,,"(1, 1)",,,564,,0,,"(1, 1)",257,RGB
3.jpg,236,354,RGB,,354,"(72, 72)","(1, 1)",1,1,236,"{1028: b'', 1061: b'\xd4\x1d\x8c\xd9\x8f\x00\xb2\x04\xe9\x80\t\x98\xec\xf8B~'}",1,,"(72, 72)",257,RGB
3.jpg,236,354,RGB,,354,,"(1, 1)",,,236,,0,,"(1, 1)",257,RGB
1.jpg,612,408,RGB,"b'Exif\x00\x00II*\x00\x08\x00\x00\x00\x03\x00\x0e\x01\x02\x00\xc0\x00\x00\x002\x00\x00\x00\x1a\x01\x05\x00\x01\x00\x00\x00\xf2\x00\x00\x00\x1b\x01\x05\x00\x01\x00\x00\x00\xfa\x00\x00\x00\x00\x00\x00\x00Multi ethnic guys and girls taking selfie outdoors with backlight - Happy life style friendship concept on young multicultural people having fun day together in Barcelona - Bright vivid filter,\x01\x00\x00\x01\x00\x00\x00,\x01\x00\x00\x01\x00\x00\x00'",408,"(300, 300)","(1, 1)",1,1,612,{1028: b'\x1c\x02P\x00\tViewApart\x1c\x02x\x00\xc0Multi ethnic guys and girls taking selfie outdoors with backlight - Happy life style friendship concept on young multicultural people having fun day together in Barcelona - Bright vivid filter\x1c\x02n\x00\x0cGetty Images'},1,,"(300, 300)",257,RGB
1.jpg,612,408,RGB,,408,,"(1, 1)",,,612,,0,,"(1, 1)",257,RGB
